fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
257,1083373.00000,1000160100,9409.24854,28805.40786,0.32665,1983.00000,1117717.00000,83.34453,2100,16.00000,Good,,1,0,0,classification,345 SOUTH END AVENUE,MN,O,BPC,BPC,0,-74.01639,40.71081
258,3345713.00000,3061530001,3630.23113,3721.97412,0.97535,1931.00000,471494.00000,15.80574,2100,38.00000,Good,,1,0,0,classification,9275 FT HAMILTON PARKWAY,BK,P,R5B,BR,0,-74.03206,40.60893
259,1083378.00000,1000160100,5178.75117,35650.09066,0.14527,1983.00000,850068.00000,299.17000,2100,16.00000,Good,at least some green roof,1,0,0,classification,345 SOUTH END AVENUE,MN,O,BPC,BPC,0,-74.01662,40.71046
260,3422969.00000,3051280034,1365.64531,2856.31314,0.47811,,1275923.00000,62.00891,2100,39.00000,Good,,1,0,0,classification,2513 TILDEN AVENUE,BK,X,R6,,0,-73.95361,40.64716
261,1002683.00000,1002097502,247.27771,2562.40435,0.09650,1895.00000,970215.00000,90.84238,2100,15.00000,Good,,1,0,0,classification,29 HOWARD STREET,MN,,M1-5B,,0,-74.00082,40.71939
262,1037986.00000,1013210001,363.21401,24043.47324,0.01511,1964.00000,758598.00000,319.43000,2100,39.00000,Good,,1,0,0,classification,757 3 AVENUE,MN,,C5-3,MID,0,-73.97128,40.75372
263,4596217.00000,4004187501,1632.11402,129.90352,12.56405,2015.00000,1263003.00000,0.00000,2100,0.00000,Good,,1,1,0,Visual - pre-classification,29-11 QUEENS PLAZA NORTH,QN,,M1-6/R10,,1,-73.93737,40.75018
264,1007110.00000,1004760071,123.85532,2836.14792,0.04367,1900.00000,1941.00000,91.57061,2100,6.00000,Good,,1,0,0,classification,362 WEST BROADWAY,MN,,M1-5A,,0,-74.00336,40.72309
265,1082656.00000,1012650050,2091.63852,13588.94808,0.15392,1937.00000,264671.00000,129.88000,2100,69.00000,Good,,1,1,0,classification,610 5 AVENUE,MN,,C5-2.5,MID,0,-73.97787,40.75821
266,1014445.00000,1007860051,1929.42323,36956.94779,0.05221,1920.00000,247713.00000,331.01058,2100,41.00000,Good,,1,0,0,classification,498 7 AVENUE,MN,,M1-6,GC,0,-73.99022,40.75277
267,1059497.00000,1019610039,2642.66258,71875.23925,0.03677,1970.00000,482852.00000,179.32000,2100,141.00000,Good,at least some green roof,1,0,0,classification,1165 AMSTERDAM AVENUE,MN,X,R8,,0,-73.95991,40.80734
268,1088432.00000,1018527501,32252.50721,64956.74041,0.49652,2007.00000,1109592.00000,299.28819,2100,85.00000,Good,,1,0,0,classification,808 COLUMBUS AVENUE,MN,,R7-2,,0,-73.96655,40.79472
269,1088202.00000,1006950034,78.87890,1507.70334,0.05232,1995.00000,943972.00000,43.28000,2100,9.00000,Good,,0,0,1,post-classification digitization,501 WEST 23 STREET,MN,P,C6-3A,WCH,0,-74.00430,40.74795
270,1041534.00000,1013887501,262.81243,14039.43877,0.01872,1950.00000,287467.00000,228.19000,2100,66.00000,Good,,1,0,0,classification,923 5 AVENUE,MN,P,R10,PI,0,-73.96590,40.77307
271,1041895.00000,1013930070,195.09510,2495.06837,0.07819,1910.00000,115066.00000,88.40000,2100,77.00000,Good,,1,0,0,classification,973 5 AVENUE,MN,P,R10,PI,0,-73.96367,40.77667
272,4080168.00000,4033600001,1368.32263,57157.19979,0.02394,1924.00000,1264172.00000,281.77839,2100,121.00000,Good,,1,0,0,classification,82-37 KEW GARDENS ROAD,QN,O,C4-4,,0,-73.82722,40.71189
273,1041681.00000,1013897501,226.09207,6611.46793,0.03420,1929.00000,350285.00000,183.24469,2100,55.00000,Good,,1,0,0,classification,23 EAST 74 STREET,MN,,C5-1,MP,0,-73.96469,40.77336
274,1077681.00000,1004430004,280.34411,522.92872,0.53610,1900.00000,144064.00000,49.12000,2100,38.00000,Good,Not visible in newer imagery on google maps,1,0,0,classification,26 2 AVENUE,MN,P,C6-2A,,0,-73.99021,40.72434
275,4541694.00000,4043270001,8915.11090,162276.60184,0.05494,2012.00000,1260003.00000,79.47073,2100,13.00000,Good,,1,0,0,classification,127-10 28 AVENUE,QN,C,M2-1,CP,0,-73.83997,40.77192
